# yuru-come の replay 用サンプルログ（合成データ）。時刻ms<TAB>参加者ID<TAB>発言
# 反応の波（草 / 8888 / かわいい）に、質問・初見・指摘・トラブル報告・荒らしが埋もれている約 2 分の配信
2179	haru	こんばんは〜
3237	mikan	こんばんは！
4753	sora	わこつです
6563	kuro	こんばんは、今日も来ました
8229	viewer01	天才
8275	newbie1	初見です！よろしくお願いします
11418	tanaka	今日は何時までやる予定ですか？
13377	pipe	それ原油じゃなくて重油のタンクにつないでない？
14064	viewer18	くさ
14169	viewer19	wwwwwwww
14285	viewer05	草！
14549	viewer17	くさ
14833	viewer24	ｗｗｗ
15184	viewer29	大草原
15552	viewer13	草！
15557	viewer19	wwww
15930	viewer29	草草草
16232	viewer30	ｗｗｗ
16283	viewer22	草草草
16334	viewer20	大草原
16341	viewer37	wwww
16474	viewer40	草草草
16583	viewer34	草！
16627	viewer17	wwwwwwww
16847	viewer15	wwwwwwww
17350	viewer14	草
17382	viewer06	wwwwwwww
17529	viewer40	ｗｗｗ
17589	viewer06	大草原
17621	viewer27	草草草
17795	viewer05	ｗｗｗ
17829	viewer32	ｗｗｗ
17857	viewer04	草！
17889	viewer18	草www
18691	viewer18	草www
18895	viewer23	なるほど
18922	viewer29	大草原
19014	viewer38	草
19192	viewer04	wwwwwwww
19265	viewer34	ｗｗｗ
19393	viewer18	草www
19410	viewer39	草
19458	viewer06	wwww
19479	viewer36	くさ
19691	viewer06	草
19712	viewer13	草！
19851	viewer02	草www
19941	viewer06	wwww
20272	viewer16	草草草
20306	viewer20	草
20605	viewer12	草
20721	viewer25	草！
20884	viewer14	wwwwwwww
21303	viewer26	草
21376	viewer36	wwww
21486	viewer05	草草草
21535	viewer17	草
21539	viewer07	wwwwwwww
21814	viewer06	大草原
24655	yuzu	いまの爆発は笑った、今日の配信おもしろい
26476	mob1	明日仕事だるいなあ
28698	okome	このゲームって Switch でも出てますか？
31114	troll1	下手くそすぎ、やめちまえ
33366	neko	音が出てないよ
34093	inu	音が出てないよ！
34624	viewer40	なるほど
35083	tori	マイクの音が聞こえないです
38612	sato	次は電車のネットワークも組んでみてほしい
40398	mob2	ごはん食べてくる
42458	haru	声が落ち着くので作業用に助かってます
43338	viewer02	それな
44068	newbie2	はじめまして、切り抜きから来ました
44962	viewer11	えええ
46366	pipe	さっきの分岐、ベルトが逆向きになってるよ
47570	viewer31	わかる
48392	viewer39	８８８８
48469	viewer15	８８８８
48522	viewer01	８８８８
48618	viewer15	8888
48789	viewer09	8888
48878	viewer12	8888
49107	viewer22	8888888888
49348	viewer35	888
49549	viewer04	８８８８
49950	viewer31	88888888
50027	viewer16	👏👏👏
50050	viewer39	👏👏👏
50174	viewer14	８８８８
50418	viewer27	8888888888
50452	viewer17	8888
50505	viewer08	88888888
50524	viewer31	GG
50811	viewer36	ﾅｲｽ
50843	viewer32	👏👏👏
50847	viewer17	ナイス
50864	viewer23	888
51049	viewer13	ﾅｲｽ
51063	viewer19	888
51200	viewer10	８８８８
51258	viewer13	ナイスー！
51375	viewer05	8888
51728	viewer39	８８８８
52582	viewer24	👏👏👏
52693	viewer02	👏👏👏
52864	viewer30	👏👏👏
52948	viewer25	88888888
52953	viewer33	👏👏👏
53041	viewer10	888
53143	viewer31	８８８８
53226	viewer13	ナイスー！
53743	viewer12	8888888888
53811	viewer31	GG
53903	viewer12	nice
53975	viewer24	8888888888
54058	viewer03	88888888
54108	viewer28	８８８８
54422	viewer04	８８８８
54736	viewer24	8888888888
54782	viewer08	👏👏👏
55144	viewer19	NICE!!
55978	viewer03	ナイスー！
58393	suzu	その MOD の名前教えてください
60563	viewer14	わかる
60654	mob3	viewer07 さんこんばんは
62114	troll2	つまんね、消えろ
63178	troll2	無料でフォロワー増やせます → http://example.invalid/free-followers
63732	viewer33	えええ
65267	okome	セーブしといたほうがいいと思う
67448	kuro	自分はこのゲーム積んでるんだよね
70539	tanaka	その設計すごく参考になります、応援してます
72084	fuji	画面が止まってるかも？
74279	mikan	さっき言ってた数字、3 じゃなくて 30 じゃない？
76157	newbie3	初コメです、おすすめに出てきました
78451	sora	BGM もう少し小さくしてもらえますか
80316	mob1	眠くなってきた
82704	yuzu	今日のごはん何食べました？
84775	haru	右上の資源パッチ見落としてるよ
87481	viewer32	えええ
88197	viewer02	かわいい
88251	viewer29	カワイイ
88494	viewer03	カワイイ
88770	viewer12	かわいいー
88930	viewer10	かわいい！
89392	viewer28	かわいいー
89582	viewer29	かわいいいい
89583	viewer18	かわいいー
89666	viewer16	かわいい
89941	viewer12	それな
90057	viewer08	かわいい
90156	viewer39	かわいい
90305	viewer08	:YTpog::YTpog:
90313	viewer29	うおおおおおお！
90509	viewer34	キターーー
90509	viewer37	うおおおお
90769	viewer29	かわいい！
90778	viewer15	かわいい！
90852	viewer33	かわよ
90917	viewer37	かわいいー
91079	viewer40	かわいい！
91121	viewer30	きたあああ
91442	viewer34	おおおお
91585	viewer12	かわいいいい
91634	viewer27	かわいい！
91695	viewer03	きたあああ
91764	viewer04	かわいい！
91803	viewer35	かわいいいい
91893	viewer15	きたあああ
92005	viewer10	カワイイ
92507	viewer29	うおおおおおお！
92791	viewer31	きたあああ
93031	viewer26	かわいい
93053	viewer11	うおおおおおお！
93124	viewer40	カワイイ
94102	viewer13	カワイイ
94137	viewer38	かわいい
94218	viewer14	かわよ
94260	viewer27	かわよ
94412	viewer14	かわよ
94802	viewer09	きたあああ
95220	viewer40	うおおおおおお！
95390	viewer16	かわいい！
95486	viewer16	かわいいいい
95494	viewer30	かわいいー
95778	viewer08	かわよ
96937	viewer18	うおおおおおお！
99416	suzu	いまの判断うまいなあ、その発想はなかった
100969	viewer11	！？
101518	troll1	きもい声だな
103556	kuro	仕事終わって来ました、おつかれさまです
105221	okome	このあとボス戦まで行きますか？
107175	mob2	ただいま
109510	fuji	初見です
110924	viewer24	なるほど
111484	sato	配信のアーカイブは残りますか？
111486	viewer31	たしかに
113595	mikan	そろそろ落ちます、おやすみなさい
115444	neko	ゲーム音が大きくて声が聞こえにくいです
117641	tanaka	次回はいつですか？
117691	viewer14	草
119641	haru	おつかれさまでした！
